"name","intersection","A"
"Ly6e","A",1.043
"Ctsa","A",1.043
"Naga","A",1.041
"Fmo2","A",1.04
"Sox18","A",1.04
"Bcam","A",1.037
"Asb6","A",1.035
"Pparg","A",1.035
"Ubap2l","A",1.031
"Dag1","A",1.03
"Lrp10","A",1.029
"Pdk2","A",1.028
"Ednrb","A",1.027
"Repin1","A",1.026
"Ppp1r15a","A",1.025
"Zfp574","A",1.025
"Vps18","A",1.022
"Gata2","A",1.02
"Pitpnm2","A",1.018
"Gpaa1","A",1.016
"Dusp16","A",1.015
"Wbp2","A",1.014
"Tie1","A",1.012
"Dll4","A",1.011
"Cdc42ep1","A",1.01
"Slc1a1","A",1.009
"Slc39a13","A",1.008
"Prpf8","A",1.008
"B2m","A",1.008
"Notch1","A",1.007
"Nf2","A",1.007
"Aldh2","A",1.007
"Gnas","A",1.006
"Csgalnact1","A",1.006
"Nedd4","A",1.005
"Asap2","A",1.005
"Nfic","A",1.004
"Scyl3","A",1.003
"Entpd4","A",1.002
"Dnm2","A",1.002
"Raver1","A",1.002
"Lnx1","A",1.001
"Ddx24","A",1
"Slirp","A",-1.001
"Zfp931","A",-1.003
"Cox7a2","A",-1.003
"Cdc26","A",-1.005
"Sptssa","A",-1.005
"Timm8b","A",-1.007
"Nit2","A",-1.008
"Mthfs","A",-1.011
"Coa3","A",-1.011
"Tex30","A",-1.012
"Mrpl53","A",-1.013
"C1d","A",-1.013
"Rpl9-ps6","A",-1.016
"Ndufa8","A",-1.017
"Ndufb2","A",-1.023
"Atox1","A",-1.023
"Hspe1","A",-1.026
"Hint3","A",-1.029
"Lsm5","A",-1.03
"Mrpl20","A",-1.035
"Tmem208","A",-1.042
"Sec11c","A",-1.058
"Sec61b","A",-1.058
"Uqcc2","A",-1.068
"Msantd4","A",-1.083
"Gm14326","A",-1.084
"Ncoa6","A",-1.084
"Timm8a1","A",-1.086
"Slfn2","A",-1.089
"Txndc17","A",-1.092
"Ndufb6","A",-1.094
"Ece2","A",-1.095
"Rps27l","A",-1.098
"Ptprr","A",-1.107
"Tma7","A",-1.11
"Ackr1","A",-1.11
"Gm14434","A",-1.111
"Gm14391","A",-1.129
"Gng10","A",-1.139
"Gm6710","A",-1.139
"Pcdhb16","A",-1.159
"Timm9","A",-1.162
"Acyp1","A",-1.166
"Hspb11","A",-1.168
"Gm14410","A",-1.174
"Ssu2","A",-1.176
"Nutf2","A",-1.177
"Pdlim2","A",-1.186
"Adamts9","A",-1.189
"Nabp1","A",-1.191
"Chp2","A",-1.192
"Gm14305","A",-1.197
"Tuba1a","A",-1.199
"Gpx1","A",-1.2
"Tmem256","A",-1.202
"Kdelr3","A",-1.202
"Acer3","A",-1.21
"Gm4724","A",-1.212
"Tmsb10","A",-1.212
"2200002D01Rik","A",-1.22
"Atp8b1","A",-1.226
"Gm14296","A",-1.227
"Sms","A",-1.242
"Atp5e","A",-1.253
"Mrpl52","A",-1.258
"Dnajc15","A",-1.263
"Lage3","A",-1.267
"Mcts2","A",-1.27
"S100a10","A",-1.278
"Vcpkmt","A",-1.29
"Tomm5","A",-1.294
"Gm4450","A",-1.3
"Map2k6","A",-1.302
"Dusp19","A",-1.316
"3830406C13Rik","A",-1.328
"Gngt2","A",-1.348
"Tmem147","A",-1.354
"Cdk5rap1","A",-1.376
"Immp1l","A",-1.38
"Ctla2a","A",-1.388
"Nme2","A",-1.398
"Emp1","A",-1.41
"Ifi44","A",-1.42
"Pabpc4l","A",-1.442
"Fkbp11","A",-1.451
"Psat1","A",-1.502
"Pycard","A",-1.551
"Itm2a","A",-1.561
"Cenpa","A",-1.566
"Cutal","A",-1.636
"Fam167b","A",-1.651
"Gm4737","A",-1.669
"Cntf","A",-1.669
"Mical3","A",-1.718
"Cdkn2aip","A",-1.856
"Tnfsf13","A",-1.938
"Rbp7","A",-1.947
"Slc4a7","A",-2.034
"Cfd","A",-2.384
"Rprd2","A",-2.473
"Ifi27l2a","A",-2.557
